epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3938.81,0.55249,0.37455,0.98154,0.92863,0.90023,0.93737,0.75999,0.7196,0.4787,1.16975,0.000255093,0.000255093,0.000255093
43,4028.39,0.56082,0.38196,0.98679,0.9419,0.90796,0.94704,0.76745,0.72139,0.45356,1.14367,0.000247754,0.000247754,0.000247754
44,4174.51,0.5523,0.36657,0.97751,0.91172,0.9019,0.92224,0.73933,0.75085,0.49229,1.18454,0.000240414,0.000240414,0.000240414
45,4262.94,0.5544,0.37203,0.97617,0.94449,0.88804,0.92604,0.74622,0.7379,0.49866,1.20013,0.000233075,0.000233075,0.000233075
46,4409.41,0.52852,0.35569,0.97188,0.91721,0.89704,0.93347,0.75448,0.7508,0.47571,1.18937,0.000225736,0.000225736,0.000225736
47,4484.5,0.53009,0.35875,0.9678,0.90956,0.91223,0.93911,0.75898,0.73821,0.45604,1.18183,0.000218397,0.000218397,0.000218397
48,4607.08,0.53026,0.35024,0.97086,0.93974,0.90013,0.949,0.77495,0.70705,0.44438,1.15239,0.000211058,0.000211058,0.000211058
49,4728.6,0.52213,0.34314,0.9675,0.90971,0.93599,0.94331,0.76206,0.71876,0.42394,1.16715,0.000203718,0.000203718,0.000203718
50,4824.62,0.52568,0.3478,0.96545,0.92992,0.90709,0.93495,0.7537,0.74666,0.46009,1.19708,0.000196379,0.000196379,0.000196379
51,4913.81,0.50886,0.34323,0.9607,0.91763,0.91792,0.9427,0.76715,0.72005,0.47005,1.16483,0.00018904,0.00018904,0.00018904
52,5006.43,0.50382,0.33146,0.95993,0.92627,0.90674,0.94152,0.76685,0.72833,0.45426,1.16509,0.000181701,0.000181701,0.000181701
53,5103.14,0.49357,0.33375,0.95708,0.91781,0.90222,0.93697,0.75135,0.74318,0.49852,1.19037,0.000174362,0.000174362,0.000174362
54,5244.46,0.49768,0.32718,0.95844,0.92931,0.88986,0.92651,0.73873,0.76364,0.51734,1.21506,0.000167022,0.000167022,0.000167022
55,5338.87,0.49473,0.3286,0.95479,0.92516,0.90748,0.93844,0.76361,0.73492,0.45409,1.18958,0.000159683,0.000159683,0.000159683
56,5430.33,0.49312,0.32282,0.95255,0.93201,0.89945,0.93427,0.75836,0.7273,0.44339,1.18444,0.000152344,0.000152344,0.000152344
57,5520.86,0.48878,0.32463,0.95211,0.92671,0.89584,0.93305,0.75899,0.72209,0.46199,1.1759,0.000145005,0.000145005,0.000145005
58,5612.13,0.48029,0.3144,0.94465,0.90789,0.91332,0.93889,0.75567,0.74199,0.46562,1.18346,0.000137666,0.000137666,0.000137666
59,5699.9,0.47928,0.31352,0.94625,0.94812,0.89282,0.93974,0.76282,0.73972,0.44823,1.19613,0.000130326,0.000130326,0.000130326
60,5793.05,0.47043,0.31101,0.94998,0.93796,0.909,0.93963,0.75283,0.75884,0.47104,1.2253,0.000122987,0.000122987,0.000122987
61,5885.4,0.46803,0.31321,0.9417,0.93906,0.9023,0.93742,0.75894,0.74771,0.45607,1.22684,0.000115648,0.000115648,0.000115648
62,5975.92,0.46611,0.31725,0.9458,0.92735,0.90631,0.93536,0.76076,0.74162,0.43751,1.20891,0.000108309,0.000108309,0.000108309
63,6065.07,0.45623,0.30235,0.94171,0.92844,0.89552,0.9324,0.75955,0.73833,0.48351,1.21329,0.00010097,0.00010097,0.00010097
64,6156,0.45421,0.30023,0.9387,0.92841,0.9097,0.9317,0.75597,0.74546,0.46044,1.22889,9.36304e-05,9.36304e-05,9.36304e-05
65,6249.04,0.44584,0.29035,0.93387,0.9023,0.92978,0.93769,0.76573,0.72969,0.43876,1.21665,8.62912e-05,8.62912e-05,8.62912e-05
66,6357.78,0.32384,0.19933,0.83043,0.94082,0.89835,0.92761,0.75548,0.74477,0.46444,1.25006,7.8952e-05,7.8952e-05,7.8952e-05
67,6491.25,0.31168,0.19196,0.83256,0.93055,0.92231,0.94326,0.76687,0.72373,0.43724,1.20057,7.16128e-05,7.16128e-05,7.16128e-05
68,6594.11,0.30101,0.18692,0.82849,0.93829,0.90432,0.93341,0.75777,0.74939,0.46289,1.25698,6.42736e-05,6.42736e-05,6.42736e-05
69,6685.4,0.29775,0.18124,0.83324,0.93978,0.90671,0.94122,0.76835,0.73145,0.44185,1.21984,5.69344e-05,5.69344e-05,5.69344e-05
70,6833.3,0.28925,0.17696,0.82019,0.93542,0.90643,0.94275,0.77345,0.73588,0.46475,1.23809,4.95952e-05,4.95952e-05,4.95952e-05
71,6922.96,0.28428,0.17207,0.82146,0.91727,0.91773,0.93906,0.76966,0.73284,0.44706,1.22773,4.2256e-05,4.2256e-05,4.2256e-05
72,7065.59,0.28119,0.17022,0.81956,0.93892,0.90022,0.9387,0.76706,0.74894,0.44891,1.26475,3.49168e-05,3.49168e-05,3.49168e-05
73,7156.22,0.27179,0.16696,0.81703,0.92952,0.91282,0.94348,0.77334,0.7407,0.43732,1.25159,2.75776e-05,2.75776e-05,2.75776e-05
74,7248.9,0.27137,0.16587,0.81445,0.92689,0.91798,0.94411,0.77415,0.74855,0.44205,1.26336,2.02384e-05,2.02384e-05,2.02384e-05
75,7337.99,0.26714,0.16307,0.81402,0.92946,0.91341,0.94226,0.77117,0.74718,0.44712,1.26227,1.28992e-05,1.28992e-05,1.28992e-05
